user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
osbai,2019-06-30T14:23:00,Review,"Ngay từ lần đầu được bạn dẫn đến đây ăn, mình đã kết hương vị ở đây. Cứ thèm mình lại ra đây ăn :) Không gian quán khá, không rộng không hẹp. Nước dùng rất hợp khẩu vị với mình, mình thích vị của nó. Sợi bún đều, trắng và dai vừa. Đặc biệt mình thích gia vị của quán. Lọ măng ớt có vị lạ, dễ ăn, tuy nhiên không cay lắm. Rau ăn kèm khá đầy đủ và sạch sẽ. Góp ý: Mình có góp ý một chút là nên có thêm bảng thông báo nhắc khách nên giữ vệ sinh chung. Bỏ rách đúng nơi quy định. Khách ăn xong nên khẩn trương dọn bàn sớm, tránh để khách đến sau ái ngại khi ngồi vào bàn. Kết luận: Cá nhân mình đánh giá tô bún hải sản ngon. Ngon mắt, ngon mùi và ngon vị luôn.",9.0,8.0,10.0,8.0,8.0,None,0,cao-bang,all,77/,45/
minhduyphuminh,2018-02-24T18:56:00,Bún Hải Sản,"HẾT TẾT RỒI...... MAI EM MỞ HÀNG KÍNH MỜI MỌI NGƯỜI QUA THƯỞNG THỨC LẠI VỊ BÚN HẢI SẢN QUẢNG NINH BÚN HẢI SẢN QUẢNG NINH SỐ 1 CAO BẰNG SỐ 110 BẾ VĂN ĐÀN . P. HỢP GIANG. TP CAO BẰNG XIN TRÂN TRỌNG THÔNG BÁO: QUÁN SẼ MỞ HÀNG PHỤC VỤ MỌI THỰC KHÁCH VÀO MÙNG 8 ÂL TỨC VÀO THỨ 6 NGÀY 2018 ĐẶC BIỆT:GIÁ KHÔNG TĂNG VẪN 30K Bún hải sản là món ăn không còn xa lạ gì với nhiều người, là sự kết hợp của nhiều nguyên liệu khác nhau nhưng bún hải sản lại mang đến hương vị hài hòa, đậm đà và khác biệt. Được chế biến theo công thức riêng độc quyền, mang đậm hương vị của bún , không giống như những bún hải sản khác mà thực khách đã từng thưởng thức. Nguồn hải sản tươi sống và an toàn Một món ăn muốn ngon, đầu tiên phải chú trọng vào nguyên liệu. Chình vì thế, tại tất cả hải sản đều được kiểm định chặt chẽ trước khi đưa vào sử dụng. Hải sản được thu mua trực tiếp tại những thuyền cá của ngư dân tại các vùng biển lớn Hạ Long QUẢNG NINH có nguồn gốc, xuất xứ rõ ràng nên đảm bảo độ tươi ngon và an toàn. Bún hải sản sự hòa quyện ngọt ngào Khi thưởng thức món bún hải sản này, đều đầu tiên bạn cảm nhận sẽ là Một tô bún hải sản là sự tập hợp của nhiều loại hải sản tươi ngon như tôm, bề bề... và một suất bún hải sản có giá 30.000 đồng, khá mềm cho một tô đầy đủ như thế.",10.0,10.0,10.0,10.0,10.0,None,0,cao-bang,all,77/,45/
minhduyphuminh,2017-11-08T20:07:00,Bún Hải Sản,Đồ ăn tươi ngon giá cả hợp lý Chất lượng nói lên tất cả,10.0,10.0,10.0,10.0,10.0,Chắc chắn,0,cao-bang,all,77/,45/
nguyenminhtrang.xo96,2015-06-24T16:50:00,Cafe Vườn Phố,"Veiw đẹp, rộng rãi thoáng mát, đồ uống ngon 👍",9.0,7.0,8.0,8.0,8.0,None,0,cao-bang,all,23/67/,45/
tuyetchuatan_yl,2015-07-23T12:41:00,Nhà Hàng Đại Hỷ Palace - Hòa Chung,"Được ăn cưới ở Đại Hỷ một lần, Món nằm khâu thấy đặc biệt thơm ngon hơn các nhà hàng khác tại Cao Bằng.",9.0,9.0,9.0,9.0,9.0,Chắc chắn,1,cao-bang,all,48/14/41/,45/
trinh1232007,2016-04-16T10:04:00,"Đến Cao Bằng, nhất định phải thử.","Quán mở từ 6h sáng nhưng đông khách nên 9h ra là sẽ còn ít hoặc hết. Quán ở đây phục vụ cả phở với bún. Có phở/bún vịt nướng, heo quay, lạp xườn. -Heo quay da giòn, ăn ngọt thịt. -Vịt nướng thì bản thân thấy ngon hơn ở miền xuôi nướng bao nhiêu ấy, cả thịt với da đều ăn đậm chứ thịt bên trong không bị nhạt nhẽo. -Lạp xườn là do quán làm luôn, giống xúc xích nhưng thơm hơn rất nhiều, có mùi khói củi vì họ nướng thủ công mà. -Quán ở ngã 4 nên chỗ đỗ xe thoả mái, quán thoáng mát, ngồi cả trong nhà và ngoài trơif được",8.0,9.0,9.0,9.0,5.0,Chắc chắn,0,cao-bang,all,77/,45/
thanhmaibui,2015-11-07T08:00:00,Ngã Ba Sông - Lẩu Thức Yến,"Quán phục vụ nhanh, nhiệt tình, thức ăn ngon, rau rất tươi. Giá cả phải chăng, đoàn mình ăn 2 lẩu nhúng cá, thịt bò, món bánh rán nhân đậu, khoai lang rất no.",5.0,9.0,9.0,10.0,6.0,None,0,cao-bang,all,48/,45/
tranhifl1348,2015-05-05T09:25:00,Quán ăn ngon với món lẩu đặc biệt của quán,Nhân dịp lên Tp. Cao Bằng mình đã ghé lại đây thưởng thức món lẩu của quán. Giá cả phải chăng 350k/lẩu dành cho 4 người ăn. Thích nhất là rau ăn kèm lẩu: 3 dĩa lớn và cực kỳ tươi ngon. Nhân viên phục vụ nhiệt tình. Sẽ ghé lại nếu có dịp!!,8.0,9.0,9.0,9.0,9.0,Chắc chắn,0,cao-bang,all,48/,45/
thach.hanghn4828,2014-10-28T16:02:00,Ngã Ba Sông - Lẩu Thức Yến,"Quán này có vẻ nổi tiếng,cũng rộng rãi, view nhìn ra Sông.Đồ ăn lạ,ngon.Lẩu cá một nồi đầy gồm cá,trứng lộn,đậu rán,khoai tây...ăn kèm với một đĩa thập cẩm các loại rau, rau muống,rau đắng...,thịt bò.Nước dùng lẩu đậm đà, thơm.Nem thính với gỏi tai cũng rất ngon.Giá cá thì mình không rõ.Phục vụ rất tốt",7.0,7.0,9.0,9.0,9.0,Chắc chắn,0,cao-bang,all,48/,45/
Bichhue.interior,2017-12-25T11:53:00,"Nhà hàng sạch sẽ rộng rãi, món ăn ngon, lạ","Có dịp đi công tác lên cb và mình dc vào đây ăn. Hôm mình ăn thì có xôi trứng kiến, gà mẹt, rau rừng xào, thịt nai rừng. Các món ăn rất vừa miệng và đồ rất là tươi, đặc biệt là rau, rau vùng cao nên rất là ngọt và tươi.. quán ở vị trí trung tâm , tiện đi lại. Ngoài điểm là chờ 1 chút vì phần hết các món là k chế biến trc mà nấu nóng dùng ngay thì k có gì để chê. Sẽ quay lại",10.0,8.0,10.0,9.0,8.0,Chắc chắn,0,cao-bang,all,48/,43/
