user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
hahonghanh1603,2017-12-28T09:27:00,ilahui - Thời Trang & Phụ Kiện - Hạ Long,"Ilahui mới về Hạ Long thực sự tạo nên cơn sốt check-in luôn ❤️ Đồ ở đây siêu cute hạt me. Tầng 1 : Mấy em gấu bông mềm, có đủ loại kích cỡ cho lựa chọn. Bình nước có nhựa và thuỷ tinh cứ thích ai thì nhích mang về tặng thôi :> Nón, mũ và khăn ở đây mình không thích lắm vì hơi rườm rà. Tầng 2 : Các loại túi, đồ linh tinh như cặp tóc khuyên tai, bút,... đều rất xinh và đáng yêu. Mình thấy thích nhất là dây buộc tóc đủ các loại luôn mà khá rẻ. Có 1001 loại gối chữ U khác nhau tiện khi mình đi ô tô đường dài nhé Nhân viên cực thân thiện, không quá theo dõi khi mình mua đồ nhưng cần gì hỏi anh chị ấy chỉ tận tình cực, xong cười tươi nữa. Đồ tuỳ loại mà giá khác nhau, nhìn chung nhỉnh hơn ngoài chợ tầm 30% nhưng đồ khá chất lượng, biết chọn sẽ tìm được đồ rẻ Lưu ý : Ánh đèn ở đây khá đẹp nên đồ trang sức, mũ, kính nhìn gương sẽ đẹp hơn hẳn bên ngoài. Nên chú ý khi mua mĩ phẩm !",9.0,7.0,8.0,8.0,9.0,None,0,quang-ninh,service,12/7/30/,14/
tieusongtu94,2017-12-17T23:07:00,Ilahui - Thời Trang & Phụ Kiện - Hạ Long,"Ilahui là địa điểm mà các bạn teen, cặp đôi, bạn thân, vợ chồng mới cưới chọn đến để mua những vật phẩm, đồ dùng thiết yếu, vừa xinh, thừa cute, giá cả phải chăng để mua về dùng, làm quà tặng rất giá trị 😊😊😊. Ilahui có 2 tầng, tầng một bán một số mỹ phẩm, kem dưỡng da, vật phẩm dành cho trang điểm, đồ dùng cá nhân như găng tay, mũ len nhìn cute quá thiws gì cũng muốn mua mang về 😭😭😭😭. Tầng 2 bán gối ôm, kê đầu, gối đầu, gấu bông, vật phẩm trong phòng ngủ, đồ dùng học tập cho học sinh, hay những đôi dép bông hình thú siêu cute nhìn mà muốn lụm tim thôi ak😍😍. Đồ của ilahui giá cả phải chăng, chất lượng tốt rất phù hợp với túi tiền người tiêu dùng. Nhân viên rất năng động, nhiệt tình tư vấn cho khách hàng. Mong ilahui sẽ thành công nha 😘😘",8.0,7.0,9.0,9.0,9.0,None,0,quang-ninh,service,12/7/30/,14/
Lifiannn,2017-12-11T10:32:00,"Nhiều đồ phụ kiện xinh, giá rẻ !","Nghe tin ilahui về HL là đã ngóng từ lúc sửa sang cửa hàng cbi khai trương rồi cơ ý. Cửa hàng nằm ngay đầu đường 24/5 (đường bê tông) ý ạ, nằm giữa cafe Brisa và Bodega nha 😎. Mới khai trương nên nhộn nhịp lắm, vì là chuỗi cửa hàng tiện ích, phụ kiện đồ chơi các thứ nên có rất nhiều đồ xinh xắn mà giá lại học sinh - sinh viên, có cả mĩ phẩm nữa ý, mình có mua lọ tẩy da chết body, chì kẻ chân mày dùng cũng thấy ok. Nói chung là nhìn hoa mắt, vì cái gì cũng muốn mua luôn🤣. Giá cả thì rẻ, phù hợp vs túi tiền của học sinh - sinh viên. Dù đông nhưng nhân viên vẫn chu đáo, gợi ý tư vấn cho khách hàng nhiệt tình. Thiên đường phụ kiện thế này thì các bạn tuổi teen mê tít rồi 😎",9.0,8.0,8.0,8.0,7.0,Chắc chắn,0,quang-ninh,service,12/7/30/,14/
