user_href,user_timec,user_titlec,user_comment,place,price,quality,service,ambience,user_options,num_cmt_post,city,category,type_1_shop,type_2_shop
tramle1889,2019-04-07T11:59:00,5 SAO CHO DỊCH VỤ VÀ CHẤT LƯỢNG,"Không gian tiệm vừa phải nhưng dc trang trí và decor khá bắt mắt. Một số điểm mình thích ở tiệm 1) Có kệ trưng bày các lọ thủy tinh mùi nước giặt nước xả cho KH tới ngửi và lựa chọn 2) Nội thất decor bắt mắt, nhìn rất art 3) Hệ thống máy giặt sấy đồng đều, máy của hãng LG và Electrolux nên khá yên tâm về chất lượng giặt 4) Đội ngũ nhân viên nhiệt tình, dễ thương và năng động. 5) Coi trọng chất lương dịch vụ là trên hết, giặt chưa sạch chưa thơm thì sẵn sằng giặt lại free cho KH. CHÚC GIẶT SẤY HAPPY LÚC NÀO CŨNG GIỮ VỮNG NHỮNG CHẤT LƯỢNG DỊCH VỤ TUYỆT HẢO NHƯ VẬY NHÉ !",10.0,10.0,10.0,10.0,10.0,Chắc chắn,0,ho-chi-minh,service,0/,
lehuuchung2304,2019-03-28T16:32:00,Giặt Sấy Happy - Happy Laundry,"Nhân viên rất nhiệt tình, các bạn dù mới mở nhưng nhìn chuyên nghiệp. Có trưng bày nhiều mẫu nhỏ để thử mùi nước xả, mình khá hài lòng, sẽ tiếp tục quay lại",10.0,10.0,10.0,9.0,9.0,Chắc chắn,1,ho-chi-minh,service,0/,
mandyyy0609,2020-03-01T14:48:00,King Wash - Chăm Sóc Và Bảo Dưỡng Giày,"Không biết các bạn thế nào nhưng theo t thì ở KingWash giày đc chăm sóc cũng như bảo quản rất kỹ lưỡng.Giày của t trước giờ hầu như đều đc mang qua KW bảo dưỡng, có rất nhiều dịch vụ tốt mà t còn ch dùng qua hết nữa><. Đến vs KW còn đc gặp bạn chủ siêu đáng yêu mà còn tốt tính nữa nha",10.0,10.0,10.0,10.0,8.0,None,0,ho-chi-minh,service,0/,40/
vyluong6140,2019-11-29T20:12:00,10 điểmm,"Dịch vụ cực tốt, đáng tiền vì anh chủ làm cực kì có tâm, làm kĩ, có việc gấp cần vệ sinh gấp đôi giày anh chủ cũng nhận làm, về hôm sau có giày ngay. Bonus điểm cộng vì sự nhiệt tình 🔥",10.0,10.0,10.0,10.0,10.0,Chắc chắn,0,ho-chi-minh,service,0/,40/
foodee_1b008f5f,2019-11-27T10:22:00,Cảm ơn shop đã hồi phục đôi giày kỉ niệm của mình,Thực sự mình cảm ơn shop rất nhiều. Vì đã hồi phục đôi giày yêu quý. Sẽ ủng hộ King wash lâu dài vì thực sự là giày mình được clean rất sạch và không bị ố. Shop clean rất biết giữ giày không bị mất form.,8.0,10.0,10.0,10.0,9.0,Chắc chắn,0,ho-chi-minh,service,0/,40/
chaothanh,2019-11-15T14:59:00,Chắc chắn không bao giờ sử dụng dịch vụ giặt giày ở đây nữa!!!,"Nhận hàng mà tức! Mọi người xem hình đính kèm để biết thêm chi tiết. Đọc comment mọi người khen nhiều, điểm cao, nhưng trải nghiệm của mình rất tệ. Giày của mình màu trắng, giặt xong thành màu cháo lòng. Giày màu đen thì màu xám (bị bạc) và xoắn mất form. Đôi thì còn ẩm ướt chưa khô hẳn. Không có một đôi nào được chà sạch đế. Sợi dây bị tưa và vàng ố luôn (trước đó chỉ cũ chứ không hề vàng ố) Không biết shop dùng bàn chải sắt hay gì mà giày rách te tua!!! Giặt 8 đôi mà ôm 8000 cục tức! ĐỪNG AI DẠI DỘT NHƯ MÌNH NỮA NHA!",1.0,1.0,1.0,1.0,1.0,Không,0,ho-chi-minh,service,0/,40/
foodee_hyxhzlnr,2019-05-21T23:58:00,Sạch - Rẻ,"Mình giặt ở đây cũng nhiều lần, mỗi lần toàn giặt 3 đến 4 đôi. Mình còn giới thiệu bạn bè nữa vì đơn giản là khi nhận lại giày thấy rất ưng ý, sạch từng ngóc ngách mà giá cả không cao. Tư vấn rất nhiệt tình, vui tính nữa.",8.0,9.0,10.0,9.0,6.0,Chắc chắn,0,ho-chi-minh,service,0/,40/
coxanh.sieuway,2019-01-08T01:08:00,Quá tuyệt vời,"Mình đã giặ ở đây 4-5 đôi gì đó. Lần nào cũng ưng ý giày giặt sạch lắm luôn, điển hình là đôi ở dưới bị vậy mà lúc nhận về giày sạch bong trắng tinh tươm luôn😍😍😍Đôi stan smith mình gửi ố bẩn mà gửi đây xong cũng bóng loáng. 👍🏻👍🏻👍🏻Anh chủ thì nhiệt tình thân thiện nữa. Chắc chắn sẽ giặt ở đây dài dài",10.0,10.0,10.0,10.0,10.0,None,1,ho-chi-minh,service,0/,40/
gaubongkhanhnhi,2019-01-08T01:08:00,King Wash - Chăm Sóc Và Bảo Dưỡng Giày,"Dịch vụ tốt, giá bình dân. Bạn chủ rất làm việc rất có tâm, luôn yên tâm khi trao gửi giày. Từ ngày biết chỗ clean giày ở đây mình chỉ tin tưởng mỗi chỗ này",6.0,8.0,9.0,9.0,5.0,Chắc chắn,1,ho-chi-minh,service,0/,40/
tominhtri12081999,2019-01-08T00:58:00,King Wash - Chăm Sóc Và Bảo Dưỡng Giày,"TỐT dịch vụ rất ok, anh chủ clean giày kỹ+ giá cả rất ok, nhất định sẽ ghé lại lần sau",10.0,10.0,10.0,10.0,10.0,None,1,ho-chi-minh,service,0/,40/
vanny164,2018-12-19T11:29:00,Tệ,"Làm ơn ghi rõ chỉ làm sạch ở ngoài đi. Nhận giày mà bên trong giày cao gót vẫn bẩn, mặc dù chỉ dính đất chút cũng ko thấy lau. Dịch vụ qá tệ. Quá thất vọng. Thế này ai dám gửi giày sneaker các thứ.!",9.0,5.0,1.0,1.0,5.0,Không,0,ho-chi-minh,service,0/,40/
kelsi.bichtran,2017-02-24T05:32:00,Thế Giới Di Động - Phan Đăng Lưu,"Cũng không biết sao dạo này như bị hãng này mua chuộc 😂😂 không Điện Máy Xanh cũng Thế Giới Di Động 😂 ( chắc do thương hiệu có nhiều chi nhánh nên dễ mua hàng hay đổi trả khi hàng bị lỗi ) . Do đổi dế không xài được gậy tự sướng cũ nên đành sắm thêm em gậy chụp bluetooth 😭😭😭 chắc nửa năm nay cũng làm giàu cho nơi đây khá là nhiều 😂😂😂 mà kệ tại cũng khoái vụ 1 đổi 1 trong vòng 1 năm nếu bị lỗi nên không lo lỗi kỹ thuật , nhân viên đổi hàng cho mình cũng nhanh gọn chứ không làm khó dễ gì . À 2 tiệm nằm cách nhau có con đường Phan Xích Long à , mà bên nào cũng to bự và mát mẻ 😍 À mà cái loại dây sạc 20cm mình chụp hộp í dễ hư lắm cơ , đang mua loại đỏ sợi mỏng kiểm tra coi ngon hơn không 😘 à nà gậy tự sướng không đổi được nhé , loại bluetooth mắc tiền thì thoải mái 😊",8.0,7.0,8.0,9.0,7.0,None,0,ho-chi-minh,service,48/,40/
0877539200,2021-07-05T17:53:00,tyyh,tghjj,1.0,1.0,1.0,1.0,1.0,None,0,ho-chi-minh,service,48/,40/
kelsi.bichtran,2020-03-03T22:37:00,✨ CHUỘT VI TÍNH GENIUS ✨,"Mình đi mua chuột máy tính cho laptop mới nên ghé chi nhánh Thế Giới Di Động này , thấy cũng ổn lắm nè . Xài chuột không dây nên thấy cũng tiện lắm , chỉ thay pin thôi à chứ di chuyển hay đi đây đó khá ổn . Nhân viên các chi nhánh đều tư vấn nhiệt tình theo từng nhu cầu của khách . Có thể tích điểm qua số điện thoại cá nhân để nhận thêm ưu đãi đó ạ .",8.0,7.0,8.0,8.0,8.0,None,0,ho-chi-minh,service,48/,40/
kelsi.bichtran,2016-11-24T01:13:00,Thế Giới Di Động - Cộng Hòa,"Hôm nay tình cờ đi ngang Thế Giới Di Động gần nhà trên đường đi công việc thấy banner ốp lưng đồng giá tất cả 40k , sẵn tính mua cục pin dự phòng luôn ( từng mua 1 cục dự phòng ở TGDĐ thấy xài ok gần 2 năm với dịch vụ bảo hành tốt nên ra đây mua cho lành ) nên ghé vô đây . Ốp nhiều loại nhiều dòng máy , biết khôn lựa toàn loại 90-120k vì đều trả 40k mà 😂😂😂 mua ốp được giảm dán màn hình 10% , mua cục pin dự phòng giảm liền 30% cho dây cáp 20cm nữa . Hôm qua tôi đã tốn hơn 500k cho nơi này 😢😢😢",8.0,8.0,9.0,9.0,7.0,Chắc chắn,0,ho-chi-minh,service,48/,40/
pebap_lovely,2016-10-15T11:26:00,Dịch vụ tốt,"Lâu lắm mới quay lại Thế giới di động, mà ko ngờ dịch vụ được nâng cấp hơn hẳn. Mình đứng coi hàng chưa được 1' đã có nhân viên lại hỏi chị có cần hỗ trợ gì ko liền. Lúc khách hàng đi ra hay đi vào đều chào rất là kính cẩn. Thậm chí cả bảo vệ cũng làm vậy lun nha. Đang có chương trình khuyến mãi giảm giá cho tân sinh viên mà còn tặng balo nữa. Nhược điểm là mình đợi lấy hàng lâu quá. Nhân viên đi lấy về xong để đó mà ko giao cho khách. Ko hỏi chắc ngồi đợi mốc mỏ _ May là ở đây có wifi mạnh ngồi chơi giết thời gian được.",8.0,7.0,9.0,9.0,7.0,Chắc chắn,0,ho-chi-minh,service,48/,40/
nguyentrangthaovy15,2018-12-21T10:26:00,Giặt Sấy Sun House,Giặt nhanh nhưng sạch và rất thơm. Mình sẽ quay lại ủng hộ <3,8.0,8.0,10.0,10.0,7.0,Chắc chắn,0,ho-chi-minh,service,0/,40/
huyennguyen280491,2017-12-13T23:30:00,Dịch vụ very good,"Hôm qua mình mang quần áo đến cửa hàng này giặt, sơ ý để quên 300K trong túi quần. Đến khi ghé nhận đồ, cô chủ báo mình để quên tiền >< nghe xong mừng hết lớn^_< cửa hàng mới, sạch sẽ, không gian đẹp...quần áo giặt ở đây rất sạch, gấp đồ rất đẹp, phân loại theo từng loại. Triệu like cho cửa hàng này ^^",10.0,9.0,10.0,10.0,10.0,None,0,ho-chi-minh,service,0/,40/
thynguyen241190,2017-11-17T22:45:00,"Dịch vụ tốt, chất lượng khỏi phải chê","Mình đến đây giặt vài lần, cô chủ rất vui vẻ và nhiệt tình. Quần áo giặt rất sạch, hệ thống máy giặt mới hiện đại, không gian sạch sẽ. Hiện mình đang là khách hàng thân thiết của cửa hàng nên nhận được khá nhiều ưu đãi như tích điểm giảm giá dịch vụ giặt, thứ 3 hằng tuần thì có thêm ngày thành viên được giảm 15%, thứ 4 thì được miễn phí nước giặt :). Đặc biệt khách hàng mới được giảm ngay 20% ^^ quá tuyệt vời. Theo mình đánh giá thì đây là cửa hàng giặt sấy tốt nhất khu vực Cây Trâm Gò Vấp.",10.0,9.0,9.0,10.0,9.0,None,0,ho-chi-minh,service,0/,40/
nguyenthaoxen,2020-04-15T16:53:00,"Dối trá, lọc lừa, ác quỷ","Chủ quán Neko Coffee Đinh Quang Huy lừa đảo, nhận tiền, quà của mạnh thường quân nhưng lại lười, vô tâm không ngó ngàng bọn mèo, để chúng sống trong môi trường dơ bẩn, lây bệnh cho nhau. Đến khi bị bóc ra thì cãi cùn, trốn tránh trách nhiệm.",1.0,1.0,1.0,1.0,1.0,None,0,ho-chi-minh,service,75/2/56/15/,40/
dotranlanuyen98,2020-01-30T20:33:00,Neko Coffee Shop,"Quán dơ bẩn, bừa bãi, mèo mang tới đây khoẻ ốm để lẫn lộn làm các con lây bệnh lẫn nhau, khi được truy vấn trách nhiệm thì anh HUY QUANG ĐINH bảo là KHÔNG CÓ TIỀN CHỮA! Các bé mèo bệnh bị đưa vào chuồng kế nhà vệ sinh lạnh lẽo, ăn những miếng đồ thiu, nằm thoi thóp chờ chết. Khuyến cáo Đừng Bao Giờ Ghé Vào Đây.",2.0,2.0,1.0,1.0,3.0,None,0,ho-chi-minh,service,75/2/56/15/,40/
huynhbakhoi94,2020-01-27T01:34:00,"Dối trá, lọc lừa, ác quỷ","Dùng lòng yêu thương của người khác làm công cụ hái tiền cho bản thân. Cà phê mèo này là 1 ổ bệnh, không phải nơi cưu mang các con, mà là con đường dẫn tới địa ngục. Mong mọi người đừng nhẹ dạ, đừng cả tin mà giao phó con mình cho nơi này. Tránh xa và ngưng tiếp tay cho cái ác tồn tại. R.I.P Tiger con của mẹ.",1.0,1.0,1.0,1.0,1.0,None,0,ho-chi-minh,service,75/2/56/15/,40/
Tuanh79,2020-01-25T03:22:00,Neko Coffee Shop,"Dẹp tiệm đi chủ quán, để mèo ốm đau bệnh tật mà ko chữa chạy cho chúng nó thì mang về làm gì?",1.0,1.0,1.0,1.0,1.0,None,0,ho-chi-minh,service,75/2/56/15/,40/
mihhienn,2020-01-25T01:57:00,NGƯỢC ĐÃI ĐỘNG VẬT,Mọi người né cái quán này ra nhé https://www.facebook.com/groups/thitranmeo/permalink/485253455408027/,1.0,1.0,1.0,1.0,1.0,None,0,ho-chi-minh,service,75/2/56/15/,40/
achilles_tendo2612,2020-01-25T01:53:00,Neko Coffee Shop,"Thằng chủ quán Neko Coffee Đinh Quang Huy lừa đảo, nhận tiền, quà của mạnh thường quân nhưng lại ngược đãi, bỏ đói bọn mèo, để chúng sống trong môi trường dơ bẩn, bệnh tật cho đến chết.",1.0,1.0,1.0,1.0,1.0,None,0,ho-chi-minh,service,75/2/56/15/,40/
haiyan.1225,2020-01-25T01:41:00,Neko Coffee Shop,"Lừa đảo, lợi dụng những bé mèo đáng thương để nhận tiền, quà của mạnh thường quân rồi ngược đãi hành hạ các bé, khiến cho bọn nhỏ chết tức tưởi",1.0,1.0,1.0,1.0,1.0,None,0,ho-chi-minh,service,75/2/56/15/,40/
